Date,Opponent,Actual Result,Predicted Result,H2H Wins,H2H Losses,Win %
2022-06-24,OAK,W,-,3,1,0.667
2022-06-25,OAK,L,-,3,2,0.571
2022-06-26,OAK,L,-,3,3,0.5
2022-06-27,TEX,L,-,1,3,0.333
2022-06-28,TEX,L,-,1,4,0.286
2022-06-29,TEX,W,-,2,4,0.375
2022-07-01,DET,W,-,2,2,0.5
2022-07-02,DET,L,-,2,3,0.429
2022-07-03,DET,W,-,3,3,0.5
2022-07-04,HOU,L,-,1,3,0.333
2022-07-05,HOU,L,-,1,4,0.286
2022-07-06,HOU,W,-,2,4,0.375
2022-07-07,HOU,L,-,2,5,0.333
2022-07-08,CLE,W,-,3,5,0.4
2022-07-09,CLE,L,-,3,6,0.364
2022-07-10,CLE,W,-,4,6,0.417
2022-07-11,DET,W,-,4,3,0.556
2022-07-11,DET,W,-,5,3,0.6
2022-07-12,DET,L,-,5,4,0.545
2022-07-13,DET,W,-,6,4,0.583
2022-07-14,TOR,W,-,2,2,0.5
2022-07-15,TOR,L,-,2,3,0.429
2022-07-16,TOR,L,-,2,4,0.375
2022-07-17,TOR,L,-,2,5,0.333
2022-07-22,TB,L,-,0,1,0.333
2022-07-23,TB,W,-,1,1,0.5
2022-07-24,TB,W,-,2,1,0.6
2022-07-25,LAA,,W,2,1,0.6
2022-07-26,LAA,,L,2,1,0.6
2022-07-27,LAA,,L,2,1,0.6
2022-07-28,NYY,,L,0,3,0.2
2022-07-29,NYY,,L,0,3,0.2
2022-07-30,NYY,,L,0,3,0.2
2022-07-31,NYY,,L,0,3,0.2
2022-08-01,CHW,,L,4,4,0.5
2022-08-02,CHW,,L,4,4,0.5
2022-08-03,CHW,,W,4,4,0.5
2022-08-04,BOS,,L,0,0,0.5
2022-08-05,BOS,,L,0,0,0.5
2022-08-06,BOS,,W,0,0,0.5
2022-08-07,BOS,,W,0,0,0.5
2022-08-09,CHW,,L,4,4,0.5
2022-08-09,CHW,,W,4,4,0.5
2022-08-10,CHW,,W,4,4,0.5
2022-08-11,CHW,,W,4,4,0.5
2022-08-12,LAD,,W,0,0,0.5
2022-08-13,LAD,,W,0,0,0.5
2022-08-14,LAD,,L,0,0,0.5
2022-08-15,MIN,,L,4,6,0.417
2022-08-16,MIN,,W,4,6,0.417
2022-08-17,MIN,,L,4,6,0.417
2022-08-18,TB,,L,2,1,0.6
2022-08-19,TB,,W,2,1,0.6
2022-08-20,TB,,L,2,1,0.6
2022-08-21,TB,,W,2,1,0.6
2022-08-22,CHW,,W,4,4,0.5
2022-08-23,ARI,,L,0,2,0.25
2022-08-24,ARI,,L,0,2,0.25
2022-08-26,SD,,L,0,0,0.5
2022-08-27,SD,,W,0,0,0.5
2022-08-28,SD,,W,0,0,0.5
2022-08-30,CHW,,L,4,4,0.5
2022-08-31,CHW,,L,4,4,0.5
2022-09-01,CHW,,L,4,4,0.5
2022-09-02,DET,,W,6,4,0.583
2022-09-03,DET,,W,6,4,0.583
2022-09-04,DET,,L,6,4,0.583
2022-09-05,CLE,,L,4,6,0.417
2022-09-06,CLE,,L,4,6,0.417
2022-09-07,CLE,,L,4,6,0.417
2022-09-09,DET,,L,6,4,0.583
2022-09-10,DET,,W,6,4,0.583
2022-09-11,DET,,L,6,4,0.583
2022-09-13,MIN,,L,4,6,0.417
2022-09-14,MIN,,L,4,6,0.417
2022-09-15,MIN,,L,4,6,0.417
2022-09-16,BOS,,W,0,0,0.5
2022-09-17,BOS,,W,0,0,0.5
2022-09-18,BOS,,W,0,0,0.5
2022-09-20,MIN,,W,4,6,0.417
2022-09-21,MIN,,L,4,6,0.417
2022-09-22,MIN,,L,4,6,0.417
2022-09-23,SEA,,L,0,3,0.2
2022-09-24,SEA,,L,0,3,0.2
2022-09-25,SEA,,L,0,3,0.2
2022-09-27,DET,,L,6,4,0.583
2022-09-28,DET,,L,6,4,0.583
2022-09-29,DET,,L,6,4,0.583
2022-09-30,CLE,,L,4,6,0.417
2022-10-01,CLE,,L,4,6,0.417
2022-10-02,CLE,,W,4,6,0.417
2022-10-03,CLE,,L,4,6,0.417
2022-10-04,CLE,,W,4,6,0.417
2022-10-05,CLE,,L,4,6,0.417
Wins,Losses,Win %
62,100,0.383
